,lda_equity,mlp_equity,buy_hold
2025-10-26,10000,10966.641444740597,18864.909105797124
2025-10-27,10000,10966.641444740597,18806.7158556425
2025-10-28,10000,10966.641444740597,18615.02794110298
2025-10-29,10000,10966.641444740597,18136.970114272415
2025-10-30,10000,10966.641444740597,17848.612317775107
2025-10-31,10000,10966.641444740597,18054.71239281001
2025-11-01,10000,10966.641444740597,18138.405665366965
2025-11-02,10000,10966.641444740597,18233.26533670687
2025-11-03,10000,10966.641444740597,17558.892357100194
2025-11-04,10000,10966.641444740597,16741.985247427183
2025-11-05,10000,10966.641444740597,17121.238534259817
2025-11-06,10000,10966.641444740597,16694.319801129153
2025-11-07,10000,10966.641444740597,17035.637201862402
2025-11-08,10000,10966.641444740597,16855.958991905783
2025-11-09,10000,10966.641444740597,17257.659662893948
2025-11-10,10000,10966.641444740597,17468.099865946533
2025-11-11,10000,10966.641444740597,16973.847992777668
2025-11-12,10000,10966.641444740597,16753.96018978626
2025-11-13,10000,10966.641444740597,16430.01617602145
2025-11-14,10000,10966.641444740597,15556.632040058414
2025-11-15,10000,10966.641444740597,15746.37455755411
2025-11-16,10000,10966.641444740597,15520.259166540893
2025-11-17,10000,10966.641444740597,15176.95001913207
2025-11-18,10000,10966.641444740597,15317.852899658687
2025-11-19,10000,10966.641444740597,15073.47575373511
2025-11-20,10000,10966.641444740597,14276.823433137799
2025-11-21,10000,10966.641444740597,14022.833888584732
2025-11-22,10000,10966.641444740597,13949.938792736268
2025-11-23,10000,10966.641444740597,14305.351631481262
2025-11-24,10000,10966.641444740597,14546.873125092996
2025-11-25,10000,10966.641444740597,14393.829216026854
2025-11-26,10000,10966.641444740597,14917.308394484782
2025-11-27,10000,10966.641444740597,15043.71027772182
2025-11-28,10000,10966.641444740597,14983.375932078197
2025-11-29,10000,10966.641444740597,14972.250732967905
2025-11-30,10000,10966.641444740597,14896.864344412761
2025-12-01,10000,10950.216120559757,14225.68176445836
2025-12-02,10000,11588.117121300003,15054.3938678407
2025-12-03,10000,11864.354076298847,15413.259754151231
2025-12-04,10000,11688.51196516597,15184.81915661178
2025-12-05,10000,11339.173546491764,14730.985449820582
2025-12-06,10000,11324.536802409155,14711.970513394252
2025-12-07,10000,11468.295812710132,14898.731204580561
2025-12-08,10000,11498.050948761065,14937.386797461875
2025-12-09,10000,11758.292436937965,15275.472598870183
2025-12-10,10000,11673.203292551436,15164.931302120785
2025-12-11,10000,11717.808072447484,15245.747035039787
2025-12-12,10000,11717.808072447484,14876.44604413616
2025-12-13,10000,11717.808072447484,14881.109332086335
2025-12-14,10000,11717.808072447484,14531.154162480158
2025-12-15,10000,11717.808072447484,14241.866798368266
2025-12-16,10000,11717.808072447484,14476.573608622655
2025-12-17,10000,11700.257685918605,14196.378497272817
2025-12-18,10000,11590.317037462306,14084.10938925088
2025-12-19,10000,11590.317037462306,14519.322131485642
2025-12-20,10000,11590.317037462306,14558.975528939398
2025-12-21,10000,11590.317037462306,14604.748365274212
2025-12-22,10000,11590.317037462306,14583.0387127574
2025-12-23,10000,11572.957601060714,14405.7127466122
2025-12-24,10000,11581.767394371176,14438.336449916878
2025-12-25,10000,11581.767394371176,14376.171293819043
