Date,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2024-09-15,0,Bull,0.6370456671139031,0.34986980816851065,0.013084524716935456
2024-09-16,1,Neutral,0.3412000316530728,0.6493067845805673,0.009493183766157912
2024-09-17,0,Bull,0.6468804237235668,0.3484650884429001,0.004654487832853291
2024-09-18,1,Neutral,0.33917757199003173,0.6594661881780683,0.0013562398319819484
2024-09-19,0,Bull,0.653788608507402,0.34595977132854683,0.0002516201643711309
2024-09-20,1,Neutral,0.33504026441520035,0.6649177249791735,4.201060645033913e-05
2024-09-21,1,Neutral,0.33504026441520035,0.6649177249791735,4.201060645033913e-05
2024-09-22,1,Neutral,0.33504026441520035,0.6649177249791735,4.201060645033913e-05
2024-09-23,0,Bull,0.6584012224383031,0.3415813484064714,1.7429156133845848e-05
2024-09-24,1,Neutral,0.3303376313767227,0.6696466775157156,1.5691107505522746e-05
2024-09-25,0,Bull,0.6634035699299662,0.33658044876204224,1.5981308886888088e-05
2024-09-26,1,Neutral,0.32511812509356847,0.6748695664876165,1.2308419358113183e-05
2024-09-27,0,Bull,0.6685057183013635,0.33139093690048754,0.00010334479852851408
2024-09-28,0,Bull,0.6685057183013635,0.33139093690048754,0.00010334479852851408
2024-09-29,0,Bull,0.6685057183013635,0.33139093690048754,0.00010334479852851408
2024-09-30,1,Neutral,0.3188595654985405,0.6802631208358852,0.0008773136653040306
2024-10-01,0,Bull,0.6644785946797396,0.3247281108580693,0.010793294461858604
2024-10-02,1,Neutral,0.28342101573324585,0.6768725826051584,0.03970640166231535
2024-10-03,0,Bull,0.5383013939114359,0.28734845620070176,0.17435014988739436
2024-10-04,1,Neutral,0.1252227882689397,0.5478334210260447,0.3269437907042251
2024-10-05,1,Neutral,0.1252227882689397,0.5478334210260447,0.3269437907042251
2024-10-06,1,Neutral,0.1252227882689397,0.5478334210260447,0.3269437907042251
2024-10-07,2,Bear,0.06663505174533253,0.12266868889077012,0.8106962593644146
2024-10-08,2,Bear,0.054175235636965476,0.067331785819899,0.8784929785435299
2024-10-09,2,Bear,0.04914738719543065,0.05517229864969695,0.8956803141555013
2024-10-10,2,Bear,0.05127293238449056,0.050849089221869946,0.8978779783934524
2024-10-11,2,Bear,0.05543485209204438,0.05548670862448442,0.8890784392832566
2024-10-12,2,Bear,0.05543485209204438,0.05548670862448442,0.8890784392832566
2024-10-13,2,Bear,0.05543485209204438,0.05548670862448442,0.8890784392832566
2024-10-14,2,Bear,0.06586124775610716,0.06240410136773282,0.871734650876051
2024-10-16,0,Bull,0.3316778416639125,0.2902187885606843,0.37810336977465736
2024-10-17,1,Neutral,0.44055453962949465,0.4063264431814141,0.15311901718912788
2024-10-18,0,Bull,0.4697113472697336,0.4874722199631207,0.04281643276803913
2024-10-19,0,Bull,0.4697113472697336,0.4874722199631207,0.04281643276803913
2024-10-20,0,Bull,0.4697113472697336,0.4874722199631207,0.04281643276803913
2024-10-21,1,Neutral,0.49482695258492826,0.4846040955722165,0.02056895184341265
2024-10-22,0,Bull,0.4758831345022334,0.5066778595397896,0.017439005957235926
