Date,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC
2015-10-25,76.47150568182072,79.3666244917856,91.02842740129059,10.503826355391652,8.151014217995376,2.352812137396276,-20.633375508214396,152.9520806304799,11.544504760151666,285.8083460125692,232.04765679504803,20.762794647952816,0.9604106017284041,6.386561571111941,0.2595722684217183,356217564,26982375.0,81.24804250004955
2015-10-26,77.22955337886727,82.58716352741362,87.27225227577112,11.031929785539717,8.727197331504245,2.304732454035472,-17.412836472586378,123.77161889240634,8.533147984992729,289.405674577339,232.37402665557113,21.860431820942118,0.9280103778519222,6.272519889414213,0.25346822310884315,388326364,27211060.0,-10.564182555046441
2015-10-27,80.73230160879714,94.87621607621878,85.61000136513935,11.99707197562202,9.3811722603278,2.615899715294221,-5.123783923781215,148.29395728157968,8.553051464469306,294.082923909515,232.7786773478092,23.2714801820466,0.9951890849118828,6.624769183725029,0.2532149844945398,434658164,28377690.0,7.250530097500896
2015-10-28,84.09430495942557,96.84446432039837,91.43594797467695,13.48045172743332,10.201028153748904,3.279423573684415,-3.1555356796016216,174.16990662650514,16.425054452559614,300.4689308507011,232.62407146863484,25.453292047313543,1.061155416367552,7.053570722220115,0.26567673899676647,485466264,29992330.0,126.47508502605388
2015-10-29,86.29139574997858,93.28341760294288,95.00136599985336,15.22587512107009,11.205997547213142,4.019877573856947,-6.7165823970571195,188.22844460466604,19.13854053332691,308.0843158080332,232.00108763434963,28.174517470291242,1.0758471389400242,7.717388197837205,0.2728243047126359,549962164,32349470.0,155.3403170380224
2015-10-30,88.83701201819707,91.61490102120288,93.91426098151472,17.549430777209352,12.474684193212385,5.074746583996967,-8.385098978797119,204.6594814930748,21.729142477647194,318.06313436550624,230.32967111545074,31.996577042293843,1.113433117926357,8.617145852372271,0.292579443638784,628267164,35469085.0,153.49791840672324
2015-10-31,74.30408623312827,72.744956254062,85.88109162606928,18.06512096291027,13.592771547151964,4.472349415758307,-27.255043745937996,152.1843961383652,17.98686356910288,322.8442838520948,232.26011983442868,32.63680252438439,0.9041962925994388,9.682064075528716,0.3571631776462459,579669064,37057625.0,89.56013308733759
2015-11-01,77.52484962693796,88.06577003744569,84.14187577090354,19.16191505798821,14.706600249319214,4.455314808668996,-11.93422996255431,140.11752305209177,18.760464478628684,328.86283233858023,234.2538714578064,33.601901788011176,0.9637261359730432,10.104128991590281,0.3587342225790649,616670164,38038265.0,-2.1357574731674767
2015-11-02,84.2662822640275,95.916119011777,85.57561510109491,22.655346946499947,16.296349588755362,6.358997357744585,-4.0838809882230045,194.3742579676919,30.63082015328324,343.49619697241076,230.78860679956188,39.251461794765135,1.1569796529389336,12.393189096404145,0.4808823788409296,718588164,41724240.0,246.15946336078798
2015-11-03,88.61089583977993,90.59917742133891,91.52702215685389,28.502800771820603,18.73763982536841,9.765160946452191,-9.40082257866109,246.1182390018292,43.23141303756605,368.2206010048858,221.20700214452825,49.883513454354144,1.2394090849789066,15.811746355422153,0.5796421348298892,924750164,50659210.0,694.6913161465401
2015-11-04,89.22878812078672,63.38747282472787,83.30092308594794,33.40914404675186,21.671940669645103,11.73720337710676,-36.61252717527213,251.99192542362547,45.080019355339815,389.5265732532904,215.62532799182677,57.47358469952978,1.1267179829266172,22.89762215634624,0.5773678359688211,1188650164,62593035.0,477.24571331077425
