,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2008-01-29,2,Bear,1.0865312701612988e-13,3.5416819093513457e-12,0.999999999996362
2008-01-30,2,Bear,1.82393180852223e-11,7.553378678532552e-10,0.9999999992269295
2008-01-31,2,Bear,9.510851865039546e-11,3.7057228987084443e-09,0.9999999961983121
2008-02-01,2,Bear,5.5730010412138366e-12,1.7253170568273908e-10,0.999999999821739
2008-02-04,2,Bear,1.3481340752741538e-10,5.22278561228186e-09,0.9999999946430762
2008-02-05,2,Bear,6.111519025798111e-11,3.315802783966642e-09,0.9999999966239557
2008-02-06,2,Bear,1.5058508422113355e-11,8.47024689953964e-10,0.999999999137799
2008-02-07,2,Bear,1.1214505200524044e-10,6.489423904321166e-09,0.9999999933988875
2008-02-08,2,Bear,1.0635263970186465e-11,6.855399712584953e-10,0.9999999993033271
2008-02-11,2,Bear,1.2589084152413923e-10,7.170051274437961e-09,0.9999999927040335
2008-02-12,2,Bear,3.6109039132124414e-10,1.5239833430755574e-08,0.999999984398528
2008-02-13,2,Bear,1.2516169218470636e-10,4.212780121995208e-09,0.9999999956617103
2008-02-14,2,Bear,1.578594913822095e-09,6.211601996478501e-08,0.999999936306269
2008-02-15,2,Bear,2.1168888308108517e-09,7.419396781413794e-08,0.9999999236897594
2008-02-18,2,Bear,4.374585529254275e-09,1.6235431423784955e-07,0.9999998332714451
2008-02-19,2,Bear,6.977847780987607e-09,1.4513005472196346e-07,0.9999998478924796
2008-02-20,2,Bear,3.7158800468379386e-08,1.2202706912817542e-06,0.9999987425697957
2008-02-21,2,Bear,1.9696433370036625e-08,4.225014697650365e-07,0.9999995578019548
2008-02-22,2,Bear,6.026815265882374e-08,1.2485366626786292e-06,0.9999986911943248
2008-02-25,2,Bear,7.367538771728703e-08,1.1895150354159313e-06,0.9999987368090635
2008-02-26,2,Bear,1.3202294771085436e-07,1.6103492890504849e-06,0.999998257627948
2008-02-27,2,Bear,7.772360363543224e-08,2.3403133777656136e-06,0.9999975819639206
2008-02-28,2,Bear,1.0506811302186426e-08,4.0255647648041787e-07,0.9999995869366956
2008-02-29,2,Bear,1.270680192779127e-09,6.208741736149915e-08,0.9999999366427821
2008-03-03,2,Bear,1.123220428812139e-09,5.871493651248965e-08,0.9999999401625264
2008-03-04,2,Bear,1.4312675126336815e-09,5.9564118734621095e-08,0.9999999390038302
2008-03-05,2,Bear,7.163017844660843e-09,3.83667693156523e-07,0.9999996091701941
