phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P9,oversampled,btc,3stage_full,mlp,defensive,0.7814823672581647,6.992662490593503,-0.5685843686599528,260,0.5230769230769231
P9,oversampled,btc,3stage_full,mlp,prob_weighted,0.6431318933853992,3.095700620318632,-0.4841426659626309,247,0.5182186234817814
P9,oversampled,btc,flat,mlp,stateful,0.7216673666494386,6.548985190003536,-0.7689101730927449,253,0.5533596837944664
P9,oversampled,btc,flat,mlp,defensive,0.3706541525047035,0.9274263981793428,-0.7081020795159199,371,0.5283018867924528
P9,oversampled,btc,flat,mlp,prob_weighted,0.1934381062304806,0.1907723443587976,-0.6414390756205535,355,0.4845070422535211
P9,oversampled,eth,flat,mlp,stateful,0.2134687403792069,-0.0038677749688094,-0.6844646384527413,147,0.5034013605442177
P9,oversampled,eth,flat,mlp,defensive,-0.1534059583396523,-0.4943924428911657,-0.7957967473436981,199,0.4522613065326633
P9,oversampled,eth,flat,mlp,prob_weighted,-0.0800694479991835,-0.262417370381013,-0.593601533455578,178,0.5056179775280899
P9,oversampled,eth,3stage_full,mlp,stateful,0.1315962695219252,-0.19374273164756,-0.6220521560570453,97,0.4432989690721649
P9,oversampled,eth,3stage_full,mlp,defensive,0.1487299976376254,-0.0971187363914931,-0.5760975539204694,152,0.4868421052631579
P9,oversampled,eth,3stage_full,mlp,prob_weighted,0.1700685659550956,-0.0215506560073374,-0.5194998696337665,121,0.4462809917355372
